categoria,categoria_url,subcategoria,subcategoria_url,empresas_count,subcat_id
Moda y complementos,http://www.seraportiendasonline.com/venta-online-moda-y-complementos,Ropa,http://www.seraportiendasonline.com/ropa,171,subcat41
Moda y complementos,http://www.seraportiendasonline.com/venta-online-moda-y-complementos,Joyería,http://www.seraportiendasonline.com/joyeria,66,subcat65
Moda y complementos,http://www.seraportiendasonline.com/venta-online-moda-y-complementos,Zapatos y complementos,http://www.seraportiendasonline.com/zapatos-y-complementos,106,subcat67
Moda y complementos,http://www.seraportiendasonline.com/venta-online-moda-y-complementos,Lencería,http://www.seraportiendasonline.com/lenceria,40,subcat69
Moda y complementos,http://www.seraportiendasonline.com/venta-online-moda-y-complementos,Moda y complementos,http://www.seraportiendasonline.com/moda-y-complementos,189,subcat71
Moda y complementos,http://www.seraportiendasonline.com/venta-online-moda-y-complementos,Camisetas,http://www.seraportiendasonline.com/camisetas,73,subcat73
Moda y complementos,http://www.seraportiendasonline.com/venta-online-moda-y-complementos,Bolsos,http://www.seraportiendasonline.com/bolsos,71,subcat75
Informática,http://www.seraportiendasonline.com/venta-online-informatica,Registro de dominio,http://www.seraportiendasonline.com/registro-de-dominio,6,subcat59
Informática,http://www.seraportiendasonline.com/venta-online-informatica,Informática,http://www.seraportiendasonline.com/informatica,83,subcat63
Electrónica,http://www.seraportiendasonline.com/venta-online-electronica,Telefonía,http://www.seraportiendasonline.com/telefonia,75,subcat95
Electrónica,http://www.seraportiendasonline.com/venta-online-electronica,Telecomunicaciones,http://www.seraportiendasonline.com/telecomunicaciones,29,subcat97
Electrónica,http://www.seraportiendasonline.com/venta-online-electronica,Electrónica general,http://www.seraportiendasonline.com/electronica-general,93,subcat99
Alimentación,http://www.seraportiendasonline.com/venta-online-alimentacion,Vinos,http://www.seraportiendasonline.com/vinos,77,subcat26
Alimentación,http://www.seraportiendasonline.com/venta-online-alimentacion,Alimentación,http://www.seraportiendasonline.com/alimentacion,262,subcat28
Motor,http://www.seraportiendasonline.com/venta-online-motor,Minimotos,http://www.seraportiendasonline.com/minimotos,7,subcat43
Motor,http://www.seraportiendasonline.com/venta-online-motor,Coches,http://www.seraportiendasonline.com/coches,38,subcat45
Motor,http://www.seraportiendasonline.com/venta-online-motor,Motos,http://www.seraportiendasonline.com/motos,25,subcat47
Deportes,http://www.seraportiendasonline.com/venta-online-deportes,Náutica,http://www.seraportiendasonline.com/nautica,15,subcat49
Deportes,http://www.seraportiendasonline.com/venta-online-deportes,Deportes,http://www.seraportiendasonline.com/deportes,108,subcat51
Deportes,http://www.seraportiendasonline.com/venta-online-deportes,Fútbol,http://www.seraportiendasonline.com/futbol,11,subcat53
Deportes,http://www.seraportiendasonline.com/venta-online-deportes,Baloncesto,http://www.seraportiendasonline.com/baloncesto,13,subcat55
Deportes,http://www.seraportiendasonline.com/venta-online-deportes,Skate,http://www.seraportiendasonline.com/skate,13,subcat57
Salud y belleza,http://www.seraportiendasonline.com/venta-online-salud-y-belleza,Salud,http://www.seraportiendasonline.com/salud,210,subcat78
Salud y belleza,http://www.seraportiendasonline.com/venta-online-salud-y-belleza,Belleza,http://www.seraportiendasonline.com/belleza,220,subcat80
Jardineria y plantas,http://www.seraportiendasonline.com/venta-online-jardineria-y-plantas,Flores,http://www.seraportiendasonline.com/flores,18,subcat92
Jardineria y plantas,http://www.seraportiendasonline.com/venta-online-jardineria-y-plantas,Plantas,http://www.seraportiendasonline.com/plantas,22,subcat179
Jardineria y plantas,http://www.seraportiendasonline.com/venta-online-jardineria-y-plantas,Jardinería,http://www.seraportiendasonline.com/jardineria,50,subcat181
Hogar y Muebles,http://www.seraportiendasonline.com/venta-online-hogar-y-muebles,Menaje hogar,http://www.seraportiendasonline.com/menaje-hogar,92,subcat102
Hogar y Muebles,http://www.seraportiendasonline.com/venta-online-hogar-y-muebles,Muebles,http://www.seraportiendasonline.com/muebles,126,subcat104
Hogar y Muebles,http://www.seraportiendasonline.com/venta-online-hogar-y-muebles,Electrodomésticos,http://www.seraportiendasonline.com/electrodomesticos,71,subcat106
Hogar y Muebles,http://www.seraportiendasonline.com/venta-online-hogar-y-muebles,Energía solar,http://www.seraportiendasonline.com/energia-solar,15,subcat108
Hogar y Muebles,http://www.seraportiendasonline.com/venta-online-hogar-y-muebles,Decoración,http://www.seraportiendasonline.com/decoracion,179,subcat110
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Hostelería y viajes,http://www.seraportiendasonline.com/hosteleria-y-viajes,20,subcat113
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Librería,http://www.seraportiendasonline.com/libreria,33,subcat115
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Música,http://www.seraportiendasonline.com/musica,17,subcat117
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Arte,http://www.seraportiendasonline.com/arte,31,subcat119
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Cine,http://www.seraportiendasonline.com/cine,7,subcat121
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Instrumentos y material d...,http://www.seraportiendasonline.com/instrumentos-y-material-deejay,9,subcat125
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Hobbies,http://www.seraportiendasonline.com/hobbies,59,subcat127
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Ocio y cultura,http://www.seraportiendasonline.com/ocio-y-cultura,60,subcat129
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Esoterismo,http://www.seraportiendasonline.com/esoterismo,6,subcat131
Ocio y cultura,http://www.seraportiendasonline.com/venta-online-ocio-y-cultura,Disfraces,http://www.seraportiendasonline.com/disfraces,24,subcat133
Regalos,http://www.seraportiendasonline.com/venta-online-regalos,Artículos de regalo,http://www.seraportiendasonline.com/articulos-de-regalo,186,subcat149
Regalos,http://www.seraportiendasonline.com/venta-online-regalos,Juguetes,http://www.seraportiendasonline.com/juguetes,77,subcat151
Regalos,http://www.seraportiendasonline.com/venta-online-regalos,Regalos de empresa,http://www.seraportiendasonline.com/regalos-de-empresa,53,subcat155
Regalos,http://www.seraportiendasonline.com/venta-online-regalos,Artesanía,http://www.seraportiendasonline.com/artesania,58,subcat157
Regalos,http://www.seraportiendasonline.com/venta-online-regalos,Gadgets,http://www.seraportiendasonline.com/gadgets,32,subcat159
Mascotas,http://www.seraportiendasonline.com/venta-online-mascotas,Tiendas mascotas,http://www.seraportiendasonline.com/tiendas-mascotas,54,subcat185
Mascotas,http://www.seraportiendasonline.com/venta-online-mascotas,Nutricion animales,http://www.seraportiendasonline.com/nutricion-animales,34,subcat187
Sólo adultos,http://www.seraportiendasonline.com/venta-online-solo-adultos,Sex shops,http://www.seraportiendasonline.com/sex-shops,89,subcat162
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Inmobiliarias y promocion...,http://www.seraportiendasonline.com/inmobiliarias-y-promociones,7,subcat138
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Servicios a empresas,http://www.seraportiendasonline.com/servicios-a-empresas,82,subcat140
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Subasta,http://www.seraportiendasonline.com/subasta,3,subcat142
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Venta de entradas,http://www.seraportiendasonline.com/venta-de-entradas,8,subcat144
Servicios,http://www.seraportiendasonline.com/venta-online-servicios,Servicios generales,http://www.seraportiendasonline.com/servicios-generales,45,subcat146
Otros,http://www.seraportiendasonline.com/venta-online-otros,Papelería y materiales de...,http://www.seraportiendasonline.com/papeleria-y-materiales-de-oficina,86,subcat83
Otros,http://www.seraportiendasonline.com/venta-online-otros,Construccíon,http://www.seraportiendasonline.com/construccion,52,subcat85
Otros,http://www.seraportiendasonline.com/venta-online-otros,Maquinaria industrial,http://www.seraportiendasonline.com/maquinaria-industrial,56,subcat87
Otros,http://www.seraportiendasonline.com/venta-online-otros,Ecología,http://www.seraportiendasonline.com/ecologia,18,subcat89
